USI,negative_polarity_count,positive_polarity_count
mzspec:ST001692:CHEAR_2018-2539_mzXML_Files_10Feb2021/c18pos/HRE_HFX_20200924_HRE0010_039.mzXML,0,1734
mzspec:ST002478:Correct Prion Data/rnq-PIM4.mzML,0,2546
mzspec:ST002331:VT_181106_M338_057.mzXML,0,1143
mzspec:ST000909:mzXML/VT_171031_M314_256.mzXML,1142,0
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130913_033.mzXML,0,2246
mzspec:ST001992:Fecal_rawdata/20190813FecalRun1_plate3re-3110109.mzML,4395,0
mzspec:ST002092:meta_analysis_data_lcms/hilic_pos_mwb/b5_aos_26.mzML,0,1278
mzspec:ST002548:EFOx/20210226_162_B02_H2O2_2h-neg.mzML,3442,0
mzspec:ST002428:MS2_pos_Doentes.mzML,0,7494
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130915_127.mzXML,0,2246
mzspec:ST002332:VT_181021_M338_226.mzXML,1143,0
mzspec:ST001200:chear_2017_1762_mzXML/VT_190127_M371_131.mzXML,0,1144
mzspec:ST002764:CSHPOS/PoolQC041_MX437720_posCSH_postPetrick400.mzML,0,1683
mzspec:ST001200:chear_2017_1762_mzXML/VT_190122_M371_285.mzXML,0,1143
mzspec:ST001849:renamed_mzMLs/B3_WU350-073_d0_polar_neg.mzML,1319,0
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130916_131.mzXML,0,2245
mzspec:ST001662:share/.metabftp/.produpload/2084/DataTrackID2413/mv08618_15.mzXML,0,3374
mzspec:ST002902:28.2.mzML,0,51204
mzspec:ST001918:Walker_Benzene_MWAS_mzXML_Files_V2/VT_170729_M021_135.mzXML,0,1144
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/HILIC_positive/Wanda_HILIC_dilute_20180730_mzXML/sample/GD_068_18S005UR0105D02_ZHP_DB2.mzXML,0,2473
mzspec:ST001849:renamed_mzMLs/B8_WU350-264_d28_lipid_neg.mzML,3250,0
mzspec:ST002845:ID_143.mzML,0,3179
mzspec:ST002798:RPLC_POSITIVE/SC_03_C18pos.mzML,0,3699
mzspec:ST002466:13C-MFA_Synechococcus elongatus PCC 11801 and 11802_mzML/11802/Biological Replicate 2_11802/PCC11802 90 SEC SWATH4-2 BR2.mzML,1,0
mzspec:ST001849:renamed_mzMLs/B4_WU350-158_d3_lipid_pos.mzML,0,3250
mzspec:ST001200:chear_2017_1762_mzXML/VT_190125_M371_293.mzXML,0,1144
mzspec:ST002291:ID_102.mzXML,0,1928
mzspec:ST001662:share/.metabftp/.produpload/2084/DataTrackID2413/mv08618_19.mzXML,0,3374
mzspec:ST002332:VT_181021_M338_245.mzXML,0,1143
mzspec:ST002993:MyData/CEMSNEG_mzXml/M759_CENEG.mzXML,3297,0
mzspec:ST002332:VT_181117_M338_219.mzXML,0,1143
mzspec:ST002838:mzML output/LT01QB4T1-Sample__WTH--B4_8X_MS_LP_230220_FAIMS_Neg_1.mzML,51,0
mzspec:ST002291:ID_35.mzXML,0,2954
mzspec:ST002235:mzXML/P_HA_PL244_B1_105_1319868.mzXML,0,821
mzspec:ST001200:chear_2017_1762_mzXML/VT_190123_M371_134.mzXML,1143,0
mzspec:ST002414:CTL_R-ON_12_dpi_A2_P_3.mzXML,0,13987
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130912_111.mzXML,0,2245
mzspec:ST002338:RawData/mzXML_format/Neg/neg_32.mzXML,7370,0
mzspec:ST001430:mzXML_data/359.POS.mzXML,0,3198
mzspec:ST002466:13C-MFA_Synechococcus elongatus PCC 11801 and 11802_mzML/11801/Biological Replicate 1_11801/PCC11801 180 SEC SWATH4-2 BR1.mzML,1,0
mzspec:ST002845:ID_27.mzML,0,3081
mzspec:ST001918:Walker_Benzene_MWAS_mzXML_Files_V2/VT_170729_M021_059.mzXML,0,1144
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch1_04192018_RP_mzXML_Files/MS1/sample/GD_040_18S005UR0016A02_RPN_B1.mzXML,1877,0
mzspec:ST001200:chear_2017_1762_mzXML/VT_190127_M371_051.mzXML,0,1143
mzspec:ST002332:VT_181203_M338_248.mzXML,1143,0
mzspec:ST002537:Purslane_SP4_Adult_Root_Lipidic_Negative.mzXML,2419,0
mzspec:ST001430:mzXML_data/103.POS.mzXML,0,3167
mzspec:ST002303:FIT2-LKO_01_neg.mzML,29392,0
mzspec:ST001849:renamed_mzMLs/B4_WU350-050_d28_lipid_neg.mzML,3250,0
mzspec:ST001715:Suloctidil_24_1_c18neg_fusion.mzXML,4092,0
mzspec:ST002332:VT_181111_M338_183.mzXML,0,1143
mzspec:ST002795:NEG-Leaf-Salvia bowleyana var subbipinnata-3.mzML,3163,0
mzspec:ST001849:renamed_mzMLs/B9_WU350-379_d0_polar_neg.mzML,1318,0
mzspec:ST003011:MyData/31_Corio-O_HFD-BA_pos.mzML,0,1
mzspec:ST001849:renamed_mzMLs/B1_WU350-031_d7_polar_neg.mzML,1318,0
mzspec:ST002432:IIV_Metformin/YW_20201206_083.mzML,0,783
mzspec:ST001807:Negative ion/mzXML/Dm_polneg_QC_6_R4.mzXML,47,0
mzspec:ST001711:NAFLD.Polar.Metabolites.Batch.3/0001_GC_20180801_0476.mzML,0,5660
mzspec:ST001991:Serumrawdata/26072019_Bile_Acid_Rerun_Plate_7&part8-5001577.mzML,4355,0
mzspec:ST000909:mzXML/VT_171029_M314_247.mzXML,0,1143
mzspec:ST001711:NAFLD.Polar.Metabolites.Batch.2/0001_GC_20180723_0337.mzML,0,5659
mzspec:ST002283:AB_Human_Bone/Human_Lipid_Neg/D4_TF_C_Lip_Neg.mzML,8333,0
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130909_113.mzXML,0,2245
mzspec:ST001849:renamed_mzMLs/B3_WU350-108_d7_lipid_pos.mzML,0,3250
mzspec:ST002063:Metabolomics/214-9855_CON-IL_4.mzXML,0,8406
mzspec:ST001692:CHEAR_2018-2539_mzXML_Files_10Feb2021/c18pos/HRE_HFX_20200929_HRE0010_071.mzXML,0,1735
mzspec:ST002414:CTL_R-ON_18_dpi_C3_N_3.mzXML,8055,0
mzspec:ST001430:mzXML_data/30.POS.mzXML,0,3166
mzspec:ST001849:renamed_mzMLs/B3_WU350-093_d0_lipid_neg.mzML,3249,0
mzspec:ST001912:mzMLfiles/20191216_AG_VB_BioSFA_AlgaeCmpr_SetC18_QE144_EPC18_USDAY46920_POS_MSMS-v2_62_P-FW-TxCtrl-noInc_2__148.mzML,0,4121
mzspec:ST002465:mouse/2019_08_06KB_HILICNeg15_col_gf_3_M4.mzXML,1390,0
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130920_043.mzXML,0,2245
mzspec:ST001405:LIPNEG17MAR_76.120.mzML,44,0
mzspec:ST002784:NIKP_RBC_P_version only 1 T0/54_T4.mzML,3955,0
mzspec:ST002332:VT_181214_M338_085.mzXML,0,1143
mzspec:ST002332:VT_181204_M338_075.mzXML,0,1143
mzspec:ST000909:mzXML/VT_171029_M314_224.mzXML,1142,0
mzspec:ST002332:VT_181211_M338_076.mzXML,1143,0
mzspec:ST001899:190807LL_MetHILICpos_MP16.mzML,0,1801
mzspec:ST000987:GLA STUDY Citius/Raw Data/GLA_CT_Lipids_QC03.mzML,0,1
mzspec:ST002008:mzXMLs_neg/200605_Smp_GBTFate1MT36-IS_C.mzXML,1379,0
mzspec:ST002330:Metabolomics-mzXML-HILIC/HILIC-RN30-pos.mzML,0,991
mzspec:ST002468:MyDataFiles_New/191126_19_0023_Extr Heces_Lipids_053.mzML,0,1552
mzspec:ST001849:renamed_mzMLs/B8_WU350-254_d28_polar_neg.mzML,1318,0
mzspec:ST000991:GLA STUDY X500R/Raw Data/GLA_X500R_Lipids_SO121_SA105_1007eC1.mzML,0,1
mzspec:ST002331:VT_181120_M338_084.mzXML,1143,0
mzspec:ST002332:VT_181111_M338_204.mzXML,1143,0
mzspec:ST001758:brain_Pos_CN_30A2B_M.mzXML,0,2793
mzspec:ST001200:chear_2017_1762_mzXML/VT_190125_M371_125.mzXML,0,1143
mzspec:ST002347:MzXML_Pos_mode/pos_pooled_QC2_20200814032229.mzXML,0,3327
mzspec:ST002332:VT_181126_M338_062.mzXML,1143,0
mzspec:ST002548:EFOx/20210225_118_QC-neg.mzML,3443,0
mzspec:ST002132:DK63.mzML,0,3848
mzspec:ST001200:chear_2017_1762_mzXML/VT_190125_M371_201.mzXML,0,1143
mzspec:ST002159:HILIC_QE_positive/180227_Smp_P3_C.mzXML,0,1417
mzspec:ST000987:GLA STUDY Citius/Raw Data/GLA_CT_Lipids_SO051_SA054_1002eG3.mzML,0,1
mzspec:ST002331:VT_181201_M338_077.mzXML,0,1143
mzspec:ST000909:mzXML/VT_171031_M314_056.mzXML,1142,0
mzspec:ST002332:VT_181126_M338_239.mzXML,0,1143
mzspec:ST001757:serum_Neg_GF_27M5.mzXML,2753,0
mzspec:ST002148:Centroid mzXML/neg/190218_Blankneg5.mzXML,2672,0
mzspec:ST001858:pCFZ.ATRA4_NEG.mzXML,2107,0
mzspec:ST002332:VT_181106_M338_158.mzXML,1143,0
mzspec:ST001715:24_dimethylphenol_0_1_c18neg_fusion.mzXML,2537,0
mzspec:ST002798:RPLC_POSITIVE/SB_01_C18pos.mzML,0,3699
mzspec:ST001430:mzXML_data/15.NEG.mzXML,3053,0
mzspec:ST001715:24_dimethylphenol_24_1_hilicpos_fusion.mzXML,0,5417
mzspec:ST002764:CSHNEG/Petrick432_MX437720_negCSH_BPL1415-0922-432.mzML,1675,0
mzspec:ST002414:CTL_R-ON_27_dpi_A1_N_1.mzXML,7561,0
mzspec:ST002795:POS-Leaf-Salvia abrotanoides-1.mzML,0,3159
mzspec:ST002331:VT_181111_M338_208.mzXML,1143,0
mzspec:ST002414:CX_L-ON_18_dpi_A3_N_1.mzXML,7756,0
mzspec:ST001430:mzXML_data/126.NEG.mzXML,3047,0
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/HILIC_positive/Wanda_HILIC_dilute_20180730_mzXML/sample/GD_094_18S005UR0126D02_ZHP_DB2.mzXML,0,2472
mzspec:ST002331:VT_181028_M338_075.mzXML,0,1143
mzspec:ST000909:mzXML/VT_171029_M314_192.mzXML,1142,0
mzspec:ST001807:Positive ion/mzXML/Dm_polpos_C_21_R1.mzXML,0,33
mzspec:ST002539:RP_Lipids_Negative/200827_Smp_StaB3-neg_B.mzXML,4541,0
mzspec:ST001899:190808LL_MetHILICneg_MP16.mzML,1799,0
mzspec:ST002569:VLC04C/300719 5972 VLC04C pos.mzML,56,4940
mzspec:ST002332:VT_181201_M338_018.mzXML,1143,0
mzspec:ST002148:Centroid mzXML/pos/190218_Blankpos4.mzXML,0,2667
mzspec:ST002764:CSHNEG/Petrick309_MX437720_negCSH_BPL1415-0799-309.mzML,1676,0
mzspec:ST002587:MyData/45_ALA_GLN_171122_01.mzXML,0,3538
mzspec:ST002331:VT_181111_M338_267.mzXML,0,1143
mzspec:ST002420:G23_3.mzML,0,21999
mzspec:ST001849:renamed_mzMLs/B8_WU350-320_d3_lipid_pos.mzML,0,3249
mzspec:ST002587:MyData/34_A2_C13_GLN_4_151122_01.mzXML,0,3538
mzspec:ST001849:renamed_mzMLs/B8_WU350-304_d0_polar_pos.mzML,0,1319
mzspec:ST001200:chear_2017_1762_mzXML/VT_190128_M371_044.mzXML,1143,0
mzspec:ST001918:Walker_Benzene_MWAS_mzXML_Files_V2/VT_170729_M021_055.mzXML,0,1144
"mzspec:ST000259:exo/A_L2d_exoLB_p_1-e,5_01_19427.d/L2A4_exoLB_p.mzXML",0,4277
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130906_099.mzXML,0,2245
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/RP_NEG_Batch3/Batch3_04302018_RP_mzXML_Files/MS1/sample/GD_043_18S005UR0149A02_RPN_B3.mzXML,1877,0
mzspec:ST002332:VT_181201_M338_086.mzXML,1143,0
mzspec:ST002331:VT_181011_M338_212.mzXML,1143,0
mzspec:ST001829:Data Track 2687/positive ion_Full scan_PC_AAPH2.mzML,1390,1390
mzspec:ST002332:VT_181029_M338_112.mzXML,1143,0
mzspec:ST000909:mzXML/VT_171028_M314_223.mzXML,0,1143
mzspec:ST002332:VT_181208_M338_224.mzXML,1143,0
mzspec:ST000909:mzXML/VT_171029_M314_286.mzXML,1142,0
mzspec:ST002764:CSHPOS/Petrick398_MX437720_posCSH_BPL1415-0888-398.mzML,0,1683
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch1_04192018_RP_mzXML_Files/Leavout/GD_001_blank_RPN_B2.mzXML,1877,0
mzspec:ST002240:DualLabels_ArabidopsisRoots/4_WT_3-neg.mzML,2078,0
mzspec:ST002291:ID_39.mzXML,0,2881
mzspec:ST001849:renamed_mzMLs/B8_WU350-337_d3_polar_pos.mzML,0,1318
mzspec:ST002331:VT_181013_M338_042.mzXML,1143,0
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch1_04192018_RP_mzXML_Files/MS1/UT/GD_021_UT4_RPN_B1.mzXML,1878,0
mzspec:ST000909:mzXML/VT_171025_M314_016.mzXML,1142,0
mzspec:ST002332:VT_181021_M338_080.mzXML,1143,0
mzspec:ST002806:High Myc Medulloblastoma 7312021 mzXML/CTX D425 GLC1 Pos.mzXML,0,2699
mzspec:ST002764:CSHNEG/Petrick131_MX437720_negCSH_BPL1415-0621-131.mzML,1675,0
mzspec:ST002422:MAM_fractions/20220508_pos_KO_rep1_8ul.mzXML,0,10567
mzspec:ST000987:GLA STUDY Citius/Raw Data/GLA_CT_Lipids_Rep5.mzML,0,1
mzspec:ST002008:mzXMLs_neg/200605_Smp_GBTFate2MT12-IS_C.mzXML,1373,0
mzspec:ST002331:VT_181119_M338_218.mzXML,1143,0
mzspec:ST001926:Pos-FLY-122.mzXML,0,1865
mzspec:ST002764:CSHPOS/MtdBlank032_MX437720_posCSH_postPetrick310.mzML,0,1683
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch1_04192018_RP_mzXML_Files/MS1/sample/GD_059_18S005UR0032A02_RPN_B1.mzXML,1878,0
mzspec:ST001930:Walker_C18Pos_Trucker_Metabolomics_mzXML_Files/VT_130914_097.mzXML,0,2246
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch2_RPN_04262018_mzXMLFiles/MS1/sample/GD_067_18S005UR0105A02_RPN_B2.mzXML,1878,0
mzspec:ST001715:APAP24_hilic_01_hfqe.mzXML,0,2658
mzspec:ST002044:HILIC/ESINEG/D52_NEG.mzML,9460,0
mzspec:ST001723:Plasma_pos_exp/Plasma_pos_25.mzXML,0,770
mzspec:ST002932:LC_MS /bs_lc_s10.mzML,0,5244
mzspec:ST001849:renamed_mzMLs/B2_WU350-053_d0_lipid_pos.mzML,0,3248
mzspec:ST001849:renamed_mzMLs/B5_WU350-198_d3_lipid_neg.mzML,3250,0
mzspec:ST002548:EFOx/20210226_160_I09_HOSCN_6h-neg.mzML,3444,0
mzspec:ST001992:Fecal_rawdata/20190808FecalRun1_plate2-3102713.mzML,4393,0
mzspec:ST002764:CSHNEG/Petrick119_MX437720_negCSH_BPL1415-0609-119.mzML,1676,0
mzspec:ST001715:Bumetanide_0_2_c18neg_fusion.mzXML,4077,0
mzspec:ST002932:LC_MS /hp_LC_s8.mzML,0,5244
mzspec:ST001692:CHEAR_2018-2539_mzXML_Files_10Feb2021/c18pos/HRE_HFX_20200925_HRE0010_129.mzXML,0,1735
mzspec:ST000909:mzXML/VT_171026_M314_066.mzXML,1142,0
mzspec:ST001692:CHEAR_2018-2539_mzXML_Files_10Feb2021/c18pos/HRE_HFX_20200928_HRE0010_151.mzXML,0,1735
mzspec:ST002477:Upload/PMN_35.mzXML,1323,1323
mzspec:ST002880:C30_PlantLipidome_K3_neg2_BR2.mzML,20869,0
mzspec:ST002332:VT_181011_M338_155.mzXML,0,1143
mzspec:ST001849:renamed_mzMLs/B1_WU350-029_d3_polar_neg.mzML,1318,0
mzspec:ST002077:Pttime/20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_NEG_MSMS-v2_8_exudate-med-ctrl-_4_IR02_NA_065.mzML,7474,0
mzspec:ST002332:VT_181214_M338_017.mzXML,0,1143
mzspec:ST001048:CHEAR_2016-1407_Workbench_Raw_Files_MSSM-UT_31Aug2018/mzXML/Reverse_phase_negative/mzXML_Files/Batch1_04192018_RP_mzXML_Files/MS1/sample/GD_035_18S005UR0011A02_RPN_B1.mzXML,1877,0
mzspec:ST002331:VT_181124_M338_188.mzXML,1143,0
mzspec:ST001926:Pos-FLY-141.mzXML,0,1864
mzspec:ST001794:GItube_RawData_HILICpos_Sa_15.mzML,0,9276
mzspec:ST002332:VT_181031_M338_191.mzXML,0,1143
mzspec:ST002332:VT_181022_M338_256.mzXML,1143,0
mzspec:ST000003:ST000003/StemCell Data and Raw Files/iPSC-T2R1.mzXML,0,2951
mzspec:ST002764:CSHPOS/Biorec030_MX437720_posCSH_postPetrick290.mzML,0,1683
mzspec:ST001430:mzXML_data/678.POS.mzXML,0,3193
mzspec:ST002420:G11_2.mzML,0,22000
mzspec:ST001709:Data/mzXML/Sample_30___neg.mzXML,2097,0
mzspec:ST002993:MyData/LCMSNEG_MzXMl/C1331_LCNEG.mzXML,3426,0
mzspec:ST001715:Lovastatin24_hilic_02_hfqe.mzXML,0,2650
mzspec:ST002980:DataTrackID4458 mzXML files/SHIN2_1_serum_POS.mzXML,0,651
mzspec:ST002468:MyDataFiles_New/211104_21_0024_DON_Heces_SOH_Ens01_Lipids_014.mzML,0,1548
mzspec:ST002251:20200715_FIT01_OpenAccess/20200721_032_FIT01-063-neg.mzML,4626,0
mzspec:ST002332:VT_181214_M338_089.mzXML,0,1143
mzspec:ST002390:DMXAA/POS/pos_C_5.mzML,0,16369
mzspec:ST002681:CTL-T2D runs/5min neg/T2D_SADI_neg.mzxml.mzXML,683,0
mzspec:ST001711:NAFLD.Polar.Metabolites.Batch.2/0001_GC_20180717_0240.mzML,0,5660
mzspec:ST001692:CHEAR_2018-2539_mzXML_Files_10Feb2021/c18pos/HRE_HFX_20200923_HRE0010_181.mzXML,0,1735
"mzspec:ST000258:ST000258/endo/WT_M3c_endo_n_1-e,7_01_18752.d/M3_wt3_endo_n.mzXML",4277,0
mzspec:ST002046:raw_data/rp_pos/aos470_doeV3_06_31.mzML,0,1361
mzspec:ST002232:mct1_ctp1_lc-ms/WT_EV1_SD.mzXML,4333,0
mzspec:ST002331:VT_181121_M338_177.mzXML,0,1143
mzspec:ST001801:mzXML_batch3to5/BL_200220_M393_343.mzXML,0,9348
mzspec:ST002330:Metabolomics-mzXML-C18.zip/C18-RN24-neg.mzML,476,0
mzspec:ST002764:CSHNEG/Petrick441_MX437720_negCSH_BPL1415-0931-441.mzML,1675,0
mzspec:ST002764:CSHPOS/Petrick335_MX437720_posCSH_BPL1415-0825-335.mzML,0,1683
mzspec:ST001849:renamed_mzMLs/B3_WU350-087_d7_polar_neg.mzML,1319,0
mzspec:ST002838:mzML output/230703_Pex26-E3_NonDerNeg.mzML,154,0
mzspec:ST002764:CSHPOS/Petrick346_MX437720_posCSH_BPL1415-0836-346.mzML,0,1683
