ML,MassSpectrometer
Triple Quad 3500,Triple Quad 3500|MS:1002591
Triple Quad 4500,Triple Quad 4500|MS:1002592
Triple Quad 5500,Triple Quad 5500|MS:1002593
Triple Quad 6500,Triple Quad 6500|MS:1002594
Triple Quad 6500+,Triple Quad 6500+|MS:1002595
Triple Quad 7500,Triple Quad 7500|MS:1003144
TripleTOF 4600,TripleTOF 4600|MS:1002583
TripleTOF 5600,TripleTOF 5600|MS:1000932
TripleTOF 5600+,TripleTOF 5600+|MS:1002584
TripleTOF 6600,TripleTOF 6600|MS:1002533
TRITON,TRITON|MS:1000198
TRIZAIC UPLC nanoTile,TRIZAIC UPLC nanoTile|MS:1001769
TruTOF,TruTOF|MS:1001804
TSQ 7000,TSQ 7000|MS:1000749
TSQ 8000 Evo,TSQ 8000 Evo|MS:1002525
TSQ 9000,TSQ 9000|MS:1002876
TSQ Altis Plus,TSQ Altis Plus|MS:1003292
TSQ Altis,TSQ Altis|MS:1002874
TSQ Endura,TSQ Endura|MS:1002419
TSQ Quantis,TSQ Quantis|MS:1002875
TSQ Quantiva,TSQ Quantiva|MS:1002418
TSQ Quantum Access,TSQ Quantum Access|MS:1000644
TSQ Quantum Ultra AM,TSQ Quantum Ultra AM|MS:1000743
TSQ Quantum Ultra,TSQ Quantum Ultra|MS:1000751
TSQ Quantum,TSQ Quantum|MS:1000199
TSQ Vantage,TSQ Vantage|MS:1001510
TSQ,TSQ|MS:1000750
ultima,ultima|MS:1000200
ultraflex III TOF/TOF,ultraflex III TOF/TOF|MS:1000705
ultraflex TOF/TOF,ultraflex TOF/TOF|MS:1000202
ultraflex,ultraflex|MS:1000201
ultrafleXtreme,ultrafleXtreme|MS:1001544
UltroTOF-Q,UltroTOF-Q|MS:1001539
Varian instrument model,Varian instrument model|MS:1000489
Velos Plus,Velos Plus|MS:1001909
Vion IMS QTof,Vion IMS QTof|MS:1002728
Voyager-DE PRO,Voyager-DE PRO|MS:1000203
Voyager-DE STR,Voyager-DE STR|MS:1000204
Waters instrument model,Waters instrument model|MS:1000126
X500R QTOF,X500R QTOF|MS:1002674
Xevo G2 Q-Tof,Xevo G2 Q-Tof|MS:1001783
Xevo G2 Tof,Xevo G2 Tof|MS:1001784
Xevo G2 XS Tof,Xevo G2 XS Tof|MS:1002729
Xevo G2-S QTof,Xevo G2-S QTof|MS:1002276
Xevo G2-S Tof,Xevo G2-S Tof|MS:1002275
Xevo G2-XS QTof,Xevo G2-XS QTof|MS:1003252
Xevo G3 QTof,Xevo G3 QTof|MS:1003380
Xevo Q-Tof,Xevo Q-Tof|MS:1001785
Xevo TQ MS,Xevo TQ MS|MS:1001790
Xevo TQD,Xevo TQD|MS:1001791
Xevo TQ-S micro,Xevo TQ-S micro|MS:1002731
Xevo TQ-S,Xevo TQ-S|1001792
Xevo TQ-S,Xevo TQ-S|MS:1001792
Xevo TQ-XS,Xevo TQ-XS|MS:1002730
ZenoTOF 7600,ZenoTOF 7600|MS:1003293
