MWB,REDU
"Ground tissue powder was kept in liquid nitrogen between homogenization and The extraction solvent was prepared by mixing isopropanol/ acetonitrile/water the volume ratio 3:3:2 and degassing this mixture by directing a gentle stream nitrogen through the solvent for 5 min. The solvent was cooled to )20 C prior extraction. Randomly processing all samples of the study, 1 ml of cold solvent 20 mg of ground tissue was added, vortexed for 10 sec, and shaken at 4 C for 5 to extract metabolites and simultaneously precipitate proteins. After at 12 800 g for 2 min, 90% of the supernatant was removed, taking are not to any residues from the pellet",acetonitrile-isopropanol-water (3:3:2)
Islet were extracted with hot 70% ethanol at 75?C for 3 min,ethanol-water (4:1)
MeOH,methanol (100%)
Methanol,methanol (100%)
Methanol extraction,methanol (100%)
"methanol/acetonitrile (50/50, v/v) precipitation",acetonitrile-methanol (1:1)
"Typically, 90 ?l of plasma was thawed on ice and mixed with 5 ?l of isotope standards and incubated for 10 min at 20°C to permit small molecules and vitamins in the internal standards to associate with plasma binding proteins. Macromolecules (protein, DNA, RNA, glycans, etc.) were precipitated by extraction with 4 volumes (400 ?l) of cold (-20°C), acetonitrile:methanol (50:50) and incubated on crushed ice for 10 min, then removed by centrifugation at 16,000g x 10 min at 4°C. The supernatants containing the extracted metabolites and internal standards were transferred to labeled cryotubes and stored at -80°C for LCMS/MS analysis.",acetonitrile-methanol (1:1)
Vortex with methanol containing 500ng/ml tryptophan-d5 as internal standard,methanol (100%)
acetonitrile (100%),acetonitrile (100%)
acetonitrile-isopropanol-water (3:3:2),acetonitrile-isopropanol-water (3:3:2)
acetonitrile-methanol (1:1),acetonitrile-methanol (1:1)
acetonitrile-water (7:3),acetonitrile-water (7:3)
chloroform-methanol-water (1:3:1),chloroform-methanol-water (1:3:1)
dichloromethane-methanol (1:1),dichloromethane-methanol (1:1)
dichloromethane-methanol (2:1),dichloromethane-methanol (2:1)
dichloromethane-methanol (3:1),dichloromethane-methanol (3:1)
ethanol (100%),ethanol (100%)
ethanol-water (1:1),ethanol-water (1:1)
ethanol-water (19:1),ethanol-water (19:1)
ethanol-water (4:1),ethanol-water (4:1)
ethanol-water (9:1),ethanol-water (9:1)
ethyl acetate (100%),ethyl acetate (100%)
methanol (100%),methanol (100%)
methanol-acetonitrile (3:7),methanol-acetonitrile (3:7)
methanol-water (1:1),methanol-water (1:1)
methanol-water (3:2),methanol-water (3:2)
methanol-water (4:1),methanol-water (4:1)
methanol-water (7:3),methanol-water (7:3)
methanol-water (9:1),methanol-water (9:1)
methyltertbutylether-methanol-water (2:1:1),methyltertbutylether-methanol-water (2:1:1)
ML import: not available,ML import: not available
not collected,not collected
not specified,not specified
water (100%) (deg_C_NOS),water (100%) (deg_C_NOS)
water (94_deg_C),water (94_deg_C)
water (95_deg_C),water (95_deg_C)
water-acetonitrile (149:1),water-acetonitrile (149:1)
water-acetonitrile (250:1),water-acetonitrile (250:1)
water-acetonitrile (3:2),water-acetonitrile (3:2)
methanol-dichloromethane-trichloroacetic acid (2:1:0.8),methanol-dichloromethane-trichloroacetic acid (2:1:0.8)
butanol (100%),butanol (100%)
"ethanol-water (4:1),boiling","ethanol-water (4:1),boiling"
acetonitrile-methanol-water (2:2:1),acetonitrile-methanol-water (2:2:1)
methanol-dichloromethane-phosphate buffer (2:1:0.8),methanol-dichloromethane-phosphate buffer (2:1:0.8)
acetone-hydrochloric acid (99:1),acetone-hydrochloric acid (99:1)
chloroform-methanol (1:2),chloroform-methanol (1:2)
